150,15,happy,angry,sad,,,,,,,,,,,
-1.207712904,-1.271469567,-0.245698894,-0.810798322,-0.419267992,-1.070827571,-0.272320158,-0.574223027,-0.517107595,-0.081076576,-0.099213043,-0.545283181,0.288157852,-0.194082817,-0.2095297,0
-2.332974502,-2.183382287,0.434789938,-1.777925768,0.000629191,-0.861872302,-0.456913767,-0.594438459,-0.391765728,-0.023452564,-0.217208213,0.239016227,0.137453295,-0.142353601,0.274450769,0
-0.239721339,0.355505898,0.898586477,-0.128085562,-0.230262107,-0.596183063,-0.599553545,-0.998146533,-0.097588665,0.021331572,-0.106568736,-0.393533849,-0.07346058,-0.254815734,-0.203783468,0
0.338738282,-1.106417565,0.476686497,-0.541241673,-0.421081455,-1.020845831,-0.824642392,-0.946765312,-0.322130766,-0.04388341,-0.108863623,-0.779103971,-0.215879296,-0.036659201,-0.13400844,0
-0.417251465,-0.636095764,0.309825138,-0.767746494,-0.456506033,-1.023123015,-0.447158294,-0.924434789,-0.427442538,0.168443441,-0.088538223,-0.035049818,0.559347562,-0.047138292,0.35474962,0
0.870535987,-0.826717821,1.193042928,-1.027519204,-0.77263808,-1.19217416,-1.079300809,-0.339688641,-0.410399759,-0.095089819,-0.81121384,-0.339639624,-0.497147964,-0.434407025,0.04748896,0
0.195210635,-0.431718153,0.928633447,0.126378326,0.14693776,0.251899247,-0.575458695,-0.40679031,-0.296359769,0.345008338,0.151457953,-0.40484406,0.058158846,-0.282118559,-0.080057829,0
0.688540859,-1.400470333,0.303002046,-0.37905867,-0.682421641,-0.274345176,-0.534439324,-0.819520884,-0.34427374,-0.51102998,-0.122606709,-0.428625555,-0.040884575,-0.108782692,-0.113476629,0
0.843125929,-0.299157393,0.682480476,-1.19304444,-0.53520712,-0.095006675,-0.68276885,-0.583705315,-0.357275128,-0.097117668,0.038282361,-0.420841152,0.108033307,-0.422734111,-0.187777793,0
1.475307313,-0.901845211,0.972778739,-1.099861378,-1.265232829,0.514539574,-1.073977165,-0.708367614,-0.057139434,-0.434606838,0.381232586,-0.421391119,-0.134875452,-0.333202894,-0.333790477,0
0.71893866,-1.097371925,-0.037950201,-0.447404231,-1.124216791,-1.102027293,-0.97245175,-0.910520527,-0.324274503,0.040605602,-0.628813759,-0.443872998,0.195165988,-0.333149987,0.324994799,0
0.230091903,-0.63752244,0.619154241,-1.280563292,-0.236404661,-1.103225928,-0.576155536,-0.984941248,-0.640483553,0.12770887,-0.645076732,-0.026207134,0.101184344,-0.24536996,0.077785916,0
-0.501759033,-0.912466287,0.377572619,-1.477690217,-0.341586432,-1.114836194,-0.558769822,-1.203342345,-0.562376692,-0.172489395,-0.466303679,0.002096165,0.006201792,-0.241851659,-0.035839376,0
-0.285496438,-1.113314383,0.169637185,-0.706546734,-0.513404865,-1.149289539,-0.553819091,-0.806814194,-0.550539628,0.084377486,-0.199519372,-0.47606632,-0.030764122,-0.078394193,0.037324137,0
0.040058995,-0.095463617,0.99146614,-0.311941985,-0.398341949,-0.894238268,-0.526787657,-0.684322594,-0.112328228,-0.045647487,0.000322947,-0.647497989,-0.114236589,-0.334824481,-0.413084168,0
-1.817452434,-1.808927233,0.673655709,-2.200242147,-0.309708353,-1.51059042,-0.522829104,-0.592865352,-0.521268486,0.296574563,-0.454172139,0.371849105,0.305655677,-0.038968488,-0.03872787,0
0.431238455,-0.739319672,-0.252399147,-0.889159761,-0.218515093,-1.024883241,-0.446259332,-0.906115552,-0.500332178,-0.01010386,-0.510498062,-0.50775534,-0.125765653,-0.43205542,-0.168127705,0
-0.7318403,-1.662996079,-0.788412834,-1.060021827,-0.529757622,-1.219757195,-0.330310259,-1.210969596,-0.274912854,-0.179861946,0.09991242,0.360758053,0.62445189,-0.141640275,0.381623339,0
0.502542932,-1.587243798,0.847389619,-0.583853672,-0.369616358,-1.208708759,-0.781538446,-0.567091752,-0.394581448,-0.22954859,-0.61533426,-0.116819394,-0.47315105,-0.164884498,0.225243085,0
-0.378403415,-0.274594574,0.667365507,-0.0774253,0.056945497,0.357969313,0.005951372,-0.105566967,0.124029555,0.274748833,0.244136651,-0.299966553,0.114140241,-0.262071041,-0.047628861,0
0.441096336,-1.271787824,0.105142157,-0.212486527,0.091688167,0.078624379,-0.551588179,-0.366097977,-0.248146687,-0.023465731,-0.031526221,-0.362471488,0.010488323,-0.132024669,0.090513688,0
1.218682411,-1.494291039,0.04877635,-0.383400978,-0.541828735,-0.212820724,-0.318780851,-0.401440419,-0.317257045,-0.551682052,-0.056872622,-0.525862589,0.160687234,-0.215951629,-0.185400667,0
0.458054606,-1.148322025,0.440278293,-1.378548634,-1.013473925,0.122572831,-1.054451507,-0.440431488,-0.47872393,-0.296164729,-0.352843474,-0.548236433,-0.140238201,-0.536863855,-0.213321984,0
0.823256159,-1.276208207,-0.67003915,-0.948839702,-0.938752047,-0.870451263,-0.93278354,-0.988644617,-0.459073964,-0.156117885,-0.64471389,-0.442055711,-0.080110798,-0.319650441,0.14108247,0
0.122861685,-0.982314154,0.050398446,-1.695615187,-0.301399979,-1.54253994,-0.399024396,-1.506369008,-0.426064674,-0.432444371,-0.617188686,0.044344179,0.089589651,-0.100519393,-0.01185781,0
